plan;supply_date_start;supply_date_end;amount
monthly;2019-07-01;2019-08-01 00:00:00;12
yearly;2019-07-01;2020-07-01 00:00:00;119
yearly;2019-07-01;2020-07-01 00:00:00;119
monthly;2019-07-01;2019-08-01 00:00:00;12
monthly;2019-07-01;2019-08-01 00:00:00;12
yearly;2019-07-01;2020-07-01 00:00:00;119
yearly;2019-07-01;2020-07-01 00:00:00;119
monthly;2019-07-01;2019-08-01 00:00:00;12
yearly;2019-07-01;2020-07-01 00:00:00;119
yearly;2019-07-01;2020-07-01 00:00:00;119
yearly;2019-07-02;2020-07-02 00:00:00;119
yearly;2019-07-02;2020-07-02 00:00:00;119
yearly;2019-07-02;2020-07-02 00:00:00;119
monthly;2019-07-02;2019-08-02 00:00:00;12
monthly;2019-07-02;2019-08-02 00:00:00;12
yearly;2019-07-02;2020-07-02 00:00:00;119
monthly;2019-07-02;2019-08-02 00:00:00;12
monthly;2019-07-02;2019-08-02 00:00:00;12
yearly;2019-07-02;2020-07-02 00:00:00;119
monthly;2019-07-02;2019-08-02 00:00:00;12
monthly;2019-07-02;2019-08-02 00:00:00;12
monthly;2019-07-02;2019-08-02 00:00:00;12
monthly;2019-07-02;2019-08-02 00:00:00;12
yearly;2019-07-02;2020-07-02 00:00:00;119
monthly;2019-07-02;2019-08-02 00:00:00;12
yearly;2019-07-02;2020-07-02 00:00:00;119
monthly;2019-07-02;2019-08-02 00:00:00;12
monthly;2019-07-02;2019-08-02 00:00:00;12
monthly;2019-07-02;2019-08-02 00:00:00;12
monthly;2019-07-03;2019-08-03 00:00:00;12
yearly;2019-07-03;2020-07-03 00:00:00;119
yearly;2019-07-03;2020-07-03 00:00:00;119
monthly;2019-07-03;2019-08-03 00:00:00;12
monthly;2019-07-03;2019-08-03 00:00:00;12
monthly;2019-07-03;2019-08-03 00:00:00;12
monthly;2019-07-03;2019-08-03 00:00:00;12
yearly;2019-07-03;2020-07-03 00:00:00;119
monthly;2019-07-03;2019-08-03 00:00:00;12
monthly;2019-07-03;2019-08-03 00:00:00;12
monthly;2019-07-03;2019-08-03 00:00:00;12
monthly;2019-07-03;2019-08-03 00:00:00;12
yearly;2019-07-03;2020-07-03 00:00:00;119
yearly;2019-07-03;2020-07-03 00:00:00;119
monthly;2019-07-03;2019-08-03 00:00:00;12
monthly;2019-07-03;2019-08-03 00:00:00;12
monthly;2019-07-03;2019-08-03 00:00:00;12
yearly;2019-07-04;2020-07-04 00:00:00;119
yearly;2019-07-04;2020-07-04 00:00:00;119
