plan;supply_date_start;supply_date_end;amount;country
yearly;2019-10-01;2020-10-01 00:00:00;119;usa
monthly;2019-10-01;2019-11-01 00:00:00;12;us
yearly;2019-10-01;2020-10-01 00:00:00;119;grmany
yearly;2019-10-01;2020-10-01 00:00:00;119;us
monthly;2019-10-01;2019-11-01 00:00:00;12;germany
monthly;2019-10-01;2019-11-01 00:00:00;12;usa
yearly;2019-10-01;2020-10-01 00:00:00;119;de
monthly;2019-10-01;2019-11-01 00:00:00;12;usa
monthly;2019-10-01;2019-11-01 00:00:00;12;grmany
monthly;2019-10-01;2019-11-01 00:00:00;12;grmany
monthly;2019-10-01;2019-11-01 00:00:00;12;france   
monthly;2019-10-01;2019-11-01 00:00:00;12;us
yearly;2019-10-01;2020-10-01 00:00:00;119;germany
monthly;2019-10-01;2019-11-01 00:00:00;12;france
monthly;2019-10-01;2019-11-01 00:00:00;12;de
yearly;2019-10-01;2020-10-01 00:00:00;119;us
monthly;2019-10-01;2019-11-01 00:00:00;12;DE
yearly;2019-10-01;2020-10-01 00:00:00;119;us
monthly;2019-10-01;2019-11-01 00:00:00;12;germany
monthly;2019-10-01;2019-11-01 00:00:00;12;US
monthly;2019-10-01;2019-11-01 00:00:00;12;de
monthly;2019-10-01;2019-11-01 00:00:00;12;DE
yearly;2019-10-01;2020-10-01 00:00:00;119;US
monthly;2019-10-01;2019-11-01 00:00:00;12;DE
monthly;2019-10-01;2019-11-01 00:00:00;12;usa
monthly;2019-10-01;2019-11-01 00:00:00;12;grmany
yearly;2019-10-01;2020-10-01 00:00:00;119;usa
monthly;2019-10-01;2019-11-01 00:00:00;12;US
monthly;2019-10-01;2019-11-01 00:00:00;12;grmany
yearly;2019-10-01;2020-10-01 00:00:00;119;us
yearly;2019-10-01;2020-10-01 00:00:00;119;de
monthly;2019-10-01;2019-11-01 00:00:00;12;france   
yearly;2019-10-01;2020-10-01 00:00:00;119;US
monthly;2019-10-01;2019-11-01 00:00:00;12;france   
monthly;2019-10-01;2019-11-01 00:00:00;12;de
monthly;2019-10-01;2019-11-01 00:00:00;12;grmany
monthly;2019-10-01;2019-11-01 00:00:00;12;us
